str_no_string|NO STRING!{***}
str_vdlg_2587_01b_fac04|{s4}, at your service. Patrician of the {s6}{***}
str_vdlg_2587_01b_fac05|{s4}, then. Captain of the {s6}.{***}
str_vdlg_2587_02a_fac01|{s9}{reg5? and by God's grace, the governor of {s8}.:.{***}
str_vdlg_2587_02a_fac02|{s9}{reg5? and the governor of {s8}.:.{***}
str_vdlg_2587_02a_fac03|{s9}{reg5? and by God's grace, the governor of {s8}.:.{***}
str_vdlg_2587_02a_fac04|{s9}{reg5? and the governor of {s8}.:.{***}
str_vdlg_2587_02a_fac05|{s9}{reg5? I also happen to own {s8}.:.{***}
str_build_lumber_mill|Lumber mill{***}
str_build_cattle_pasture|Cattle pasture{***}
str_build_fishery|Fishery{***}
str_build_fruit_orchard|Fruit orchard{***}
str_build_cocoa_plantation|Cocoa plantation{***}
str_build_coffee_plantation|Coffee plantation{***}
str_build_grain_field|Grain field{***}
str_build_hemp_plantation|Hemp plantation{***}
str_build_cotton_plantation|Cotton plantation{***}
str_build_flax_plantation|Flax plantation{***}
str_build_sugarcane_plantation|Sugarcane plantation{***}
str_build_iron_mine|Iron mine{***}
str_build_silver_mine|Silver mine{***}
str_build_tobacco_plantation|Tobacco plantation{***}
str_build_salt_mine|Salt mine{***}
str_build_dyeworks|Dyeworks{***}
str_build_sugar_mill|Sugar mill{***}
str_build_mill|Mill{***}
str_build_weaver|Weaver{***}
str_build_sailmaker|Sailmaker{***}
str_build_ropemaker|Ropemaker{***}
str_build_blacksmith|Weaponsmith{***}
str_build_ironmonger|Blacksmith{***}
str_build_jeweller|Jeweller{***}
str_build_carpenter|Carpenter{***}
str_build_brewer|Brewer{***}
str_build_butcher|Butcher{***}
str_build_fish_market|Fish market{***}
str_build_bakery|Bakery{***}
str_build_distillery|Distillery{***}
str_build_tailory|Tailory{***}
str_build_furniture_maker|Furniture maker{***}
str_build_import|Import{***}
str_build_wharf|Wharf{***}
str_build_tavern|Inn{***}
str_build_press_service|Press service{***}
str_build_barracks|Barracks{***}
str_build_arsenal|Arsenal{***}
str_build_stable|Stable{***}
str_build_casting_works|Casting works{***}
str_build_training_camp|Training camp{***}
str_build_customs|Customs{***}
str_build_church|Church{***}
str_build_well|Well{***}
str_build_granary|Granary{***}
str_build_warehouses|Warehouses{***}
str_build_dry_dock|Dry dock{***}
str_build_constable|Constable{***}
str_build_firefighter_service|Firefighter service{***}
str_build_wharf_desc|Build cost: 10000^^Without a proper wharf, the shipwright can only construct the lightest of vessels. The wharf also makes ship repairs easier and less costly.^^Requires prosperity of 50.{***}
str_build_tavern_desc|Build cost: 5000^^An inn attracts more visitors, increasing the opportunities to find jobs and hire soldiers. It increases town taxation by 2% and prosperity by 5.{***}
str_build_press_service_desc|Build cost: 8000^^Press gangs manipulate and coerce people to sign up as deck hands, increasing the number of sailors available for hire in the city.^^Requires an inn.{***}
str_build_barracks_desc|Build cost: 15000^^Barracks house the musketeers of the garrison, permitting to hire them.{***}
str_build_arsenal_desc|Build cost: 12000^^The arsenal stores pikes and swords, permitting to hire infantry in the garrison house.{***}
str_build_stable_desc|Build cost: 20000^^The stable takes care of the garrison's cavalry, permitting to hire cavalry and dragoons.^^Requires prosperity of 40.{***}
str_build_casting_works_desc|Build cost: 40000^^Casting works produce pieces of field artillery, allowing to hire gunners. The facility also produces naval cannons, making their purchase cheaper.^^Requires prosperity of 70.{***}
str_build_training_camp_desc|Build cost: 50000^^The training camp boosts the fighting skill and spirit of local troops, making them veterans in no time.^^Requires barracks, an arsenal and a stable.{***}
str_build_customs_desc|Build cost: 15000^^The customs makes sure that every bushel of goods passing through the harbor leaves something in the town coffers. It increases town taxation by 5%.^^Requires prosperity of 60.{***}
str_build_church_desc|Build cost: 25000^^Church is the center of town's social life, and a source of much prestige. It increases prosperity by 5.^^Requires prosperity of 70.{***}
str_build_well_desc|Build cost: 3000^^Constant supply of fresh water goes a long way to keep the town healthy. Increases prosperity by 3.{***}
str_build_granary_desc|Build cost: 10000^^Granary stores the supplies of grain and other edible goods, stabilizing the prices on food in the city. Increases prosperity by 4.{***}
str_build_warehouses_desc|Build cost: 15000^^Warehouses provide storage for resources and trade goods, keeping market stable. That increases taxation by 2% and prosperity by 5.^^Requires productive enterprises.{***}
str_build_dry_dock_desc|Build cost: 75000^^The docks allows the shipwright to construct the largest ships of war and trade vessels known to man, as well as repair them more efficiently than ever before.^^Requires a wharf.{***}
str_build_constable_desc|Build cost: 10000^^When enemies loot the city, the constable stands between population and anarchy, limiting the prosperity hit. Increases taxation by 1% and prosperity by 1.^^Requires prosperity of 40.{***}
str_build_firefighter_service_desc|Build cost: 15000^^In times of siege, firefighters often save productive enterprises that would otherwise get torched by stray gunfire. Increases prosperity by 2.^^Requires prosperity of 30 and a well.{***}
str_build_inn|Tavern{***}
str_build_market|Market{***}
str_build_mansion|Mansion{***}
str_build_garrison|Garrison{***}
str_build_shipwright|Shipwright{***}
str_build_town_hall|Town hall{***}
str_build_wooden_fort|Fort{***}
str_build_inn_desc|Tavern desc{***}
str_build_market_desc|Market desc{***}
str_build_mansion_desc|Mansion desc{***}
str_build_garrison_desc|Garrison desc{***}
str_build_shipwright_desc|Shipwright desc{***}
str_build_town_hall_desc|Town hall desc{***}
str_build_wooden_fort_desc|Wooden fort desc{***}
str_cqst0_name|Short supply{***}
str_cqst0_desc|The city of {s1} suffers direly from the shortage of {s2}. You need to deliver {s3} in order to help the ailing town. You will be amply rewarded with {reg1} piastres.{s5}{***}
str_cqst1_name|Banquet{***}
str_cqst1_desc|The guild of merchants of {s1} plans to throw a banquet and a ball in celebration of a local holiday. The organizing committee requires {s3} for preparations to begin. If interested, deliver the goods required to {s1} at once. Your reward will consist of {reg1} piastres.{s5}{***}
str_cqst2_name|A shipwright in need{***}
str_cqst2_desc|The shipwright of {s1} urgently requires a supply of materiel to proceed with a wholesale order. Interested parties should deliver {s3} to {s1} as soon as possible. You will be rewarded with {reg1} piastres.{s5}{***}
str_cqst3_name|Construction{***}
str_cqst3_desc|The town council of {s1} requires ample supply of {s2} in order to proceed with a town expansion project. All wholesale traders capable of delivering {s3} to {s1} in time will be considered for special reward of {reg1} piastres.{s5}{***}
str_cqst4_name|Killer deal{***}
str_cqst4_desc|A honest merchant down on his luck is looking for a trader willing to purchase a load of {s2} off him at a very reasonable price. The deal is {reg1} piastres for a whole {reg2} units of {s2}! Leave your order here in {s1}, and the goods will be delivered at once!{s5}{***}
str_cqst5_name|Barter{***}
str_cqst5_desc|An enterprising {s2} trader is looking to diversify his business in {s1}. {s4} will be gladly exchanged for {s3} upon delivery.{s5}{***}
str_cqst_goods1|{s15}{***}
str_cqst_goods2|{s15} and {s16}{***}
str_cqst_goods3|{s15}, {s16} and {s17}{***}
str_cqst_goods1num|{reg15} units of {s15}{***}
str_cqst_goods2num|{reg15} units of {s15} and {reg16} units of {s16}{***}
str_cqst_goods3num|{reg15} units of {s15}, {reg16} units of {s16} and {reg17} units of {s17}{***}
str_cqst_goods_barter|{s16}{***}
str_cqst_goods_barternum|{reg16} units of {s16}{***}
str_cqst_expiration_available|^^This notice {s20}{***}
str_cqst_expiration_accepted|^^You have picked this notice {s20}{***}
str_cqst_expiration_day1|has just been posted.{***}
str_cqst_expiration_firstthird|has been posted recently.{***}
str_cqst_expiration_middlethird|has been hanging here for a while.{***}
str_cqst_expiration_lastthird|appears to be old.{***}
str_cqst_expiration_finalday|appears to be very old.{***}
str_cqst_taken_day1|a few hours ago.{***}
str_cqst_taken_firstthird|a few days ago.{***}
str_cqst_taken_middlethird|a while ago.{***}
str_cqst_taken_lastthird|many days ago.{***}
str_cqst_taken_finalday|a long time ago.{***}
str_fqst0_name|Robbers on the loose!{***}
str_fqst0_desc_fac5|A bunch of nobodies has been harming the Brotherhood's interests in the interior of Hispaniola as of late. So, whoever puts down {reg11?1 gang:{reg10} gangs} of those robbers, gets some {reg1} shiny piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst0_desc|Colonial government of the {s1} is looking for an industrious bountyhunter willing to investigate the problem of petty robberies growing out of proportion in the countryside of Hispaniola. Applicants need to eliminate no less than {reg11?1 robber gang:{reg10} robber gangs} in order to qualify for the bounty of {reg1} piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst1_name|Protecting the seas{***}
str_fqst1_desc_fac5|The Brotherhood is facing some sort of competition from all kinds of freelancer pirates who refuse to share their dues with us. This must stop, and this must stop now. Effective now, {reg11?1 fleet:{reg10} fleets} fleets of freebooters, picaroons, corsairs, whatever, are worth {reg1} piastres. No haggling.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst1_desc|Colonial government of the {s1} is looking for a brave captain eager to help securing the high seas from the ever-present pirate threat. Elimination of {reg11?1 squadron:{reg10} squadrons} of self-proclaimed 'freebooters', 'picaroons', 'corsairs' and other pirate scum will be generously rewarded with {reg1} piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst2_name|The outlaws{***}
str_fqst2_desc_fac5|The landlubber gangs all over Cuba, Panama and New Granada are getting so prominent they started draining our manpower. Any brother unafraid to walk ashore is welcome to knock off some heads from those bandits and desperados. Dispersing some {reg11?1 gang:{reg10} gangs} should be enough to direct the future daredevils back to the sea. Reward's {reg1} piastres, no less.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst2_desc|Colonial government of the {s1} is looking for an adventurer willing to brave the dangers of inland jungles and deal with the outlaws prowling therein. You should elimitate at least {reg11?1 gang:{reg10} gangs} of bandits and desperados preying on honest folk all over the island of Cuba, Panama and New Granada, to qualify for a princely bounty of {reg1} piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst3_name|Illicit trade{***}
str_fqst3_desc_fac5|There are certain smugglers who have the audacity to defy not just customs officers and tax collectors, but the Brotherhood itself. Whoever deals with {reg11?1 smuggler gang:{reg10} smuggler gangs}, is richer by {reg1} piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst3_desc|Colonial government of the {s1} is looking for men of honor who share its eagerness to stop the illegal contraband of prohibited and illicit goods without honest taxation. Eliminate {reg11?1 gang:{reg10} gangs} of evil smugglers, and you will be rewarded with {reg1} piastres, tax exempt.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst4_name|Starving the enemy{***}
str_fqst4_desc_fac5|The Brotherhood wants its members and allies to sink their teeth into the soft, tender flesh of our enemies' merchant marine. Sending {reg10} of their cargo vessels down to sleep with the fishes is worth a prize of {reg1} piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst4_desc|The privateers and loyal captains of the {s1} are asked to strike at the enemies where it hurts the most, bleeding their vital trade routes dry. Sinking or capturing {reg11?1 enemy cargo vessel:{reg10} enemy cargo vessels} is worth a reward of {reg1} piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst5_name|Pillage{***}
str_fqst5_desc_fac5|It is time for a bit of good old-fashioned ultraviolence. The Council of Captains has decided to make an example out of an enemy port. Whosoever overruns a town of our enemies, plunders its riches, slaughter its men, rapes its women and torches its houses, will be held in high regard and rewarded with {reg1} piastres. The Council has spoken.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst5_desc|As the {s1} is planning a major offensive, volunteers are wanted for a diversionary attack. A captain capable of defeating the defenses of an enemy town, then pillaging and torching it will be rewarded with {reg1} piastres. Note that holding on to the city is not advised.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst6_name|Conquest{***}
str_fqst6_desc_fac5|The Council of Captains has decided that the Brotherhood needs to expand its operations. The captain to capture an enemy town and make it into our new base will stand among the greatest of buccaneers, not to mention showered with prizes worth {reg1} piastres. P.S. No plundering, no slaughter, no torching and no raping allowed. Not with witnesses, anyway.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst6_desc|After years of preparation, the {s1} is finally moving to claim the entire Caribbean as its own. A loyal captain capable of assisting the plans of the Admiralcy by taking over an enemy port should expect a princely reward of {reg1} piastres. The city must be captured as intact as possible, pillaging of any kind is strictly prohibited.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst7_name|Leviathan down{***}
str_fqst7_desc_fac5|Thinking you've got a pair that makes a man a master of the seas? No one is a man enough until he watches a military frigate struck by his very hand going beneath the waves! Our enemies are many, it is time to thin them out. Destroy {reg11?1 capital ship:{reg10} capital ships}, and you will be forever remembered as the scourge of the ocean! A scourge worth {reg1} piastres, as a matter of fact.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst7_desc|Colonial government of the {s1} has decided to focus its war effort on destroying the backbone of enemy fleet. The heroic deed of capturing or destroying {reg11?1 enemy capital ship:{reg10} enemy capital ships} deserves a special reward worth {reg1} piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_fqst8_name|Mosquito net{***}
str_fqst8_desc_fac5|Hostile navies has long been harassing the Brotherhood's operations, it's about time their numbers are dwindled. First captain to sink or capture {reg11?1 enemy warship:{reg10} enemy warships} is getting {reg1} piastres richer.^The renown value of this mission is {reg2}.{s5.}{***}
str_fqst8_desc|The Admiralcy of the {s1} plans to put a serious dent into enemy naval forces. Destruction of {reg10} or more enemy warships of any rank will be rewarded with {reg1} piastres.^The renown value of this mission is {reg2}.{s5}{***}
str_nsb_status_fireship|Fireship{***}
str_nsb_status_anchor|Anchored{***}
str_nsb_status_attack|Attacking{***}
str_nsb_mine_drop|Drop a floating mine{***}
str_nsb_mine_reloading|Preparing a mine...{***}
str_nsb_mine_no_ammo|Not enough blackpowder!{***}
str_nsb_send_fireship|Make into fireship{***}
str_nsb_drop_anchor|Drop anchor{***}
str_nsb_attack|Engage the target{***}
str_nsb_attack_no_target|Select a target to engage{***}
str_nsb_cancel|Cancel order{***}
str_nsb_repair|Start repairs{***}
str_nsb_repair_unavailable|Cannot repair!{***}
str_nsb_ammo_balls|Cannonballs{***}
str_nsb_ammo_shrapnel|Grapeshot{***}
str_nsb_ammo_knippel|Chainballs{***}
str_nsb_ammo_change|Switch ammunition{***}
str_nsb_left_board|Port broadside{***}
str_nsb_right_board|Starboard broadside{***}
str_nsb_guns_ready|{s2} cannons:^{reg2} out of {reg1}{***}
str_nsb_guns_destroyed|All cannons are damaged!{***}
str_nsb_guns_target|Target in range!{***}
str_nsb_guns_reloading|Reloading...{***}
str_nsb_no_guns|No cannons available{***}
str_nsb_guns_no_ammo|Out of ammunition!{***}
str_nsb_wind_star|{s4}{***}
str_nsb_fleet_free_order|Free formation{***}
str_nsb_fleet_kilvater|Line of battle{***}
str_nsb_fleet_line|Line formation{***}
str_nsb_speed_half|Half Speed{***}
str_nsb_speed_normal|Normal Speed{***}
str_nsb_speed_double|Double Speed{***}
str_nsb_speed_triple|Triple Speed{***}
str_nsb_hp_info|Rigging: {reg12}/{reg13}^Hull: {reg10}/{reg11}^Crew: {reg14}/{reg15}{***}
str_nsb_speed_info|Speed: {reg12}^Ammunition: {reg10}/{reg11}{***}
str_nsb_order_info_attack|Order: Attack enemy ship^{s5}{***}
str_nsb_order_info_fireship|Order: Fireship{***}
str_nsb_order_info_anchor|Order: Anchor{***}
str_nsb_flagship_info|Flagship: {s0}^Class: {s1}^^{s12}^^{s11}{***}
str_nsb_selected_info|Selected: {s0}^Class: {s1}^^{s12}^^{s11}^^{s13}{***}
str_nsb_enemy_info|Target: {s0}^Class: {s1}^^{s11}{***}
str_no_ships|No ships available{***}
str_nlb_inf|1 - Infantry{***}
str_nlb_rng|2 - Musketeers{***}
str_nlb_cav|3 - Cavalry{***}
str_nlb_cav_rng|4 - Harquebusiers{***}
str_nlb_all|5 - All{***}
str_nlb_ord1|F1 - Hold position{***}
str_nlb_ord2|F2 - Follow me{***}
str_nlb_ord3|F3 - Charge{***}
str_nlb_ord4|F4 - Retreat{***}
str_nlb_ord5|F5 - Hold your fire{***}
str_nlb_ord6|F6 - Fire at will{***}
str_nlb_ord7|F7 - Fire{***}
str_can_not_retreat_board|Can't retreat!{***}
str_item_food_tooltip|+{reg2} to troop morale{***}
str_trade_disabled|You cannot trade goods while sneaking into the town{***}
str_ship_use|Use in battle{***}
str_ship_dont_use|Don't use in battle{***}
str_ship_use_tooltip|The ship will actively engage enemy vessels{***}
str_ship_dont_use_tooltip|The ship will enter naval combat anchored to stay out of fighting{***}
str_no_ball|Do not use solid balls{***}
str_yes_ball|Use solid balls{***}
str_nrs_gunner|Gunner{***}
str_nrs_art_desc|Buy price: {reg1}{***}
str_nlb_tactical_map|{s5} - View map{***}
str_can_not_use_mounted|You can't fire a cannon while mounted{***}
str_change_flag|Change flag{***}
str_sa_ship1|1 - {s1} ({reg0}%){***}
str_sa_ship2|2 - {s1} ({reg0}%){***}
str_sa_ship3|3 - {s1} ({reg0}%){***}
str_sa_position_0|F1 - Advance to bombard{***}
str_sa_position_1|F1 - Fall back{***}
str_sa_assault|F2 - Start assault{***}
str_sa_assault_1|F3 - Lead assault{***}
str_roumors_about_lords_2|, and the {s8} is about to throw {s7} into prison{***}
str_roumors_about_lords_3| I've also heard that {s4} is discontent with the {s5} lately{s6}.{***}
str_govern_myself|Govern this town by yourself{***}
str_order_to_govern_s11|Order {s11} to govern this town{***}
str_order_s11_to_attack|Order {s11} to attack this town{***}
str_order_all_to_attack|Order all captains to attack{***}
str_s11_recived_order|{s11} has received your orders{***}
str_faction_relation_set_to__10|Your relations with the {s1} has deteriorated from {reg1} to -10.{***}
str_order_s11_to_attack_party|Order {s11} to engage the enemy{***}
str_cancel_order|Cancel previous orders{***}
str_follow_me_order|Order {s11} to follow you{***}
str_ally_has_reg0_ships|Your fleet is joined by {reg9} allied {reg13?ships:ship}.{***}
str_la_ord1|F1 - Charge!{***}
str_la_ord2|F2 - Follow me!{***}
str_la_ord3|F3 - Hold position!{***}
str_la_ord4|F4 - Man the wall!{***}
str_la_ord5|F5 - Take cover!{***}
str_la_ord6|F1 - Open fire!{***}
str_la_ord7|F2 - Hold fire!{***}
str_la_inf|1 - Infantry{***}
str_la_rng|2 - Musketeers{***}
str_la_art|3 - Artillery{***}
str_weekly_cost_tooltip|Weekly cost includes garrison costs and fleet upkeep.{***}
str_cannons_reg7_ships_reg6|Cannons: {reg7} ^Ships: {reg6}/6{***}
str_morale_s2_money_reg3_weekly_cost_reg1|Morale: {s2} ^Money: {reg3} piastres ^Weekly Cost: {reg1} piastres {***}
str_new_lord_info_string|{reg6?:{reg4?{s54} rules over the colonies controlled by the {s56}.^:{s54} is a famous captain serving {s55} of the {s56}.}}^{reg9?{reg3?She:He} is the {reg3?governor:governor} of {s58}.:{reg3?She:He} governs no settlements.}{s59}^{s49} {reg3?She:He} is married to {s61}.{***}
str_new_lady_info_string|{reg6?:{reg4?{s54} rules over the colonies controlled by the {s56}.^:{s54} is a famous captain serving {s55} of the {s56}.}}^{reg9?{reg3?She:He} is the {reg3?governor:governor} of {s58}.:{reg3?She:He} governs no settlements.}{s59}^{s49} {reg3?She:He} is married to {s61}.{***}
str_cards_player_info|{s2} at {s3} accepts bets up to {reg1} piastres. {***}
str_cards_player_no_info|Sorry, I can't help you with that.{***}
str_cards_player_sugest|Look for {s1}{***}
str_cards_player_sugest1|{s2}. He's desperate enough to play with just about anyone.{***}
str_cards_player_sugest2|{s2} or {s3}. Chances are, they'll scale to your level.{***}
str_cards_player_ready|S'pose you wanna play? Fine. I stick to bets of {reg1} piastres. Are you up to it?{***}
str_cards_player_not_ready1|S'pose you wanna play? That's too bad, because I don't play with strangers.{***}
str_cards_player_not_ready2|If you're here to play, I am afraid I am down on my luck. Maybe another time.{***}
str_camp_troop_greeting_in_tavern|Lovely day, {sir/madam}.{***}
str_camp_troop_changed_mind|Have you changed your mind, {sir/madam}?{***}
str_camp_troop_chamberlain_info|Indeed. I used to be a treasurer under the Viceroy of New Spain. Alas, the scheming of my enemies has brought be low, and now I am an exile in search of work.{***}
str_camp_troop_officer_info|That I am. I was there, the day that Gustavus Adolphus fell at Lutzen. I fought under Alatriste at Rocroi. Then I trained men to fight, until they said I'm too old and discharged me. But I am not that old!{***}
str_camp_troop_secretary_info|You've got a sharp eye, {monsignor/mademoiselle}... I was a secretary of cardinal Mazarin, directing much of his diplomatic affairs. His death left me unemployed and hated in France, so I travelled the world looking to put my talents to use ever since.{***}
str_camp_troop_supplier_info|I used to be a food merchant, but ended up doing lucrative contracts as an army supplier. Right now no general needs my assistance, though, so I am open to offers.{***}
str_camp_troop_hire|Very well, welcome aboard.{***}
str_camp_troop_hire_again|I am glad to see you again! Pack your staff.{***}
str_cards_player_here|{s2} bets {reg1} piastres. He's sitting at the table right here beside you.{***}
str_fleet_mng_disabled|You cannot manage your fleet while sneaking into the town.{***}
str_no_my_ships|You don't have any ships in your fleet.{***}
str_cards_player_nice_game|Nice game, {man/lass}.{***}
str_cards_player_greetings|Why, hello, {mister/missus}.{***}
str_prizoners_follow_reg4|{reg4} of the escapees are willing to follow you from now on.{***}
str_nowbody_follows|None of the escapees agree to follow you further on.{***}
str_camp_troop_chamberlain_intro|Lovely day, {my good man/milady}.{***}
str_camp_troop_officer_intro|At your service, {sir/madame}!{***}
str_camp_troop_secretary_intro|Can I help you, {monsignor/mademoiselle}?{***}
str_camp_troop_supplier_intro|Uh, hello. What can I help you with?{***}
str_camp_troop_chamberlain_intro_p|You look like a person well-accustomed to palace halls.{***}
str_camp_troop_officer_intro_p|You have a bearing of an old soldier around you, sir.{***}
str_camp_troop_secretary_intro_p|It's a rare sight to meet a cultured nobleman at this godforsaken corner of the world.{***}
str_camp_troop_supplier_intro_p|You have a merchant's look. What goods do you trade in?{***}
str_camp_troop_chamberlain_info_p|Good. I am just looking for an experienced statesman to handle my finances.{***}
str_camp_troop_officer_info_p|Then our meeting is fateful, for I am just looking for a right man to drill my army.{***}
str_camp_troop_secretary_info_p|Perfect. A man of letters to handle my diplomatic affairs is just what I need.{***}
str_camp_troop_supplier_info_p|I could use a reliable supplier for my army.{***}
str_camp_troop_chamberlain_trading_reg0_piastres|I am honored. For a fee worth {reg0} piastres, I'll gladly take care of your banking and finances from now on.{***}
str_camp_troop_officer_trading_reg0_piastres|Thank you, {sir/madam}. I can drill your troops to do their best in battle, or teach them to take on different roles and branches of service. I would require a signing fee of {reg0} piastres, though.{***}
str_camp_troop_secretary_trading_reg0_piastres|You are getting yourself the best diplomat this side of the Atlantic, {monsignor/mademoiselle}. If you provide me with a modest pension of {reg0} piastres, I will happily take care of the external affairs of your young state.{***}
str_camp_troop_supplier_trading_reg0_piastres|Excellent. If you wish to offload the supplying of your company on someone else's shoulders, I'll take the job for {reg0} piastres, good?{***}
str_prepare_escape_state1_var0|What do you want?{***}
str_prepare_escape_state1_p_1_var0|Hey. Been there for long?{***}
str_prepare_escape_state1_p_2_var0|Nothing, just passing by.{***}
str_prepare_escape_state2_var0|Months. I've been a common sailor on a merchantman. Bloody privateer boarded us as we headed back to the Old World. They found nothing of value, so they took us prisoner and sold as slaves, the bastards.{***}
str_prepare_escape_state2_p_1_var0|Did you try to escape?{***}
str_prepare_escape_state3_var0|Saw some fools who did. Bloody guards have flogged them for hours, then left them drying in the sun.{***}
str_prepare_escape_state3_p_1_var0|And if I give you a chance to free yourself and strike back at them?{***}
str_prepare_escape_state3_p_2_var0|That's too bad...{***}
str_prepare_escape_state4a_var0|Well... If you've got some kind of a plan and could rouse enough people, I'd be happy to.{***}
str_prepare_escape_state4b_var0|I am no fool! Get away from me, did the overseer send you?{***}
str_prepare_escape_state4a_p_var0|Splendid. We do that.{***}
str_prepare_escape_state4b_p_var0|Sorry. Forget I asked. {***}
str_prepare_escape_state1_var1|I need to work.{***}
str_prepare_escape_state1_p_1_var1|I wonder if we have met before?{***}
str_prepare_escape_state1_p_2_var1|Sorry, please continue.{***}
str_prepare_escape_state2_var1|Don't think so. I've been captive here for over a year.{***}
str_prepare_escape_state2_p_1_var1|Ever tried to run away?{***}
str_prepare_escape_state3_var1|I've joined an uprising once. Many were killed, and I've been beaten senseless. I am doomed to die here, I guess...{***}
str_prepare_escape_state3_p_1_var1|What if there is another uprising?{***}
str_prepare_escape_state3_p_2_var1| That's too bad...{***}
str_prepare_escape_state4a_var1|Heck, I am game. Better to die away than to work another day, eh? Providing you convince enough people, of course.{***}
str_prepare_escape_state4b_var1|I made this mistake once. Not again.{***}
str_prepare_escape_state4a_p_var1|Good. Wait for my signal.{***}
str_prepare_escape_state4b_p_var1|Sorry. Forget I asked. {***}
str_prepare_escape_state1_var2|What?!{***}
str_prepare_escape_state1_p_1_var2|You don't look like a person accustomed to chains...{***}
str_prepare_escape_state1_p_2_var2|Nothing, just passing by.{***}
str_prepare_escape_state2_var2|Damn right I don't! Jus' days ago I was a free man, raiding them ships and taking me booty. One bloody night I had too lil' blood in me rum, an' ended up overboard. A passin' ship picked me up, but then they recognized my face. Could've hang'd me right there, but their cap'n thought he'd make some money off me, and so he sold me here.{***}
str_prepare_escape_state2_p_1_var2|You want to try breaking out?{***}
str_prepare_escape_state3_var2|'Course I am! Been lookin' for an opportunity the moment they put me here!{***}
str_prepare_escape_state3_p_1_var2|Then how about we do it together? {***}
str_prepare_escape_state3_p_2_var2|I envy your spirit. Bye.{***}
str_prepare_escape_state4a_var2|If ye get enough lads to make it, I'll be happy to break some necks with my bare hands!{***}
str_prepare_escape_state4b_var2|Ye don't look like ye can make it. I'd rather try on me own.{***}
str_prepare_escape_state4a_p_var2|Good. Wait for my signal.{***}
str_prepare_escape_state4b_p_var2|Sorry. Forget I asked.{***}
str_prepare_escape_state1_var3|I need to do the daily norm...{***}
str_prepare_escape_state1_p_1_var3|What did they do to you?{***}
str_prepare_escape_state1_p_2_var3|Sorry for bothering you.{***}
str_prepare_escape_state2_var3|Beatings. Lashings. <cough> Tying to a pole and leaving in the sun. I don't want to remember it anymore. But I cannot! <cough> Sweet Jesus, the memories...{***}
str_prepare_escape_state2_p_1_var3|That must have been hellish. You tried to run?{***}
str_prepare_escape_state3_var3|I can barely hold a tool... I wouldn't make it past the fence <cough> unless someone carried me on their shoulders...{***}
str_prepare_escape_state3_p_1_var3|What if I did? Would you fight for your freedom alongside others?{***}
str_prepare_escape_state3_p_2_var3|That's too bad...{***}
str_prepare_escape_state4a_var3|Hell, I'm gonna die here anyway... <cough> Let's do this. Maybe I could trip some guard <cough> and make him fall on his bayonet...{***}
str_prepare_escape_state4b_var3|Me, fight? <cough> You must be kidding here, {boy/girl}. I am already done with...{***}
str_prepare_escape_state4a_p_var3|Good. Wait for my signal.{***}
str_prepare_escape_state4b_p_var3|Sorry. Forget I asked.{***}
str_prepare_escape_state1_var4|What do you want? You don't look like you're here to ransom us.{***}
str_prepare_escape_state1_p_1_var4|How did you end up here?{***}
str_prepare_escape_state1_p_2_var4|Sorry for bothering you.{***}
str_prepare_escape_state2_var4|I was a musketeer, loyally serving His Majesty. They took me prisoner during the last war... The officers used to promise we'd get released after the hostilities are over, but it was all lies. I was sold here like a common criminal, to toil for the rest of my life alongside murderers and thieves! The shame...{***}
str_prepare_escape_state2_p_1_var4|You must be looking for a way to escape, then?{***}
str_prepare_escape_state3_var4|I attempted to, several times. I tried to run alone, I tried to rouse a rebellion, and I failed every single time. They punished me severely.{***}
str_prepare_escape_state3_p_1_var4|Would you try once more if I lend you a hand?{***}
str_prepare_escape_state3_p_2_var4|That's too bad...{***}
str_prepare_escape_state4a_var4|Sure I would. Nothing short of death would keep me locked in here forever!{***}
str_prepare_escape_state4b_var4|I don't think so. Still can't walk straight after the last time. I'd rather wait for our ransom broker, surely His Majesty won't leave me here to die!{***}
str_prepare_escape_state4a_p_var4|Good. Wait for my signal.{***}
str_prepare_escape_state4b_p_var4|Sorry. Forget I asked.{***}
str_dec_str|Your struggle for freedom cost you dearly. As you examine your battered and broken body, you realize you'll never be as strong as before.^Your strength has decreased by 1.{***}
str_dec_agi|A leering guard approaches your battered body with a knife. With a practiced slash, he cuts a tendon on your leg. You'll never be a fast runner again...^Your agility has decreased by 1.{***}
