qstr__plantation_horse_ba|养马场
qstr_southwest|southwest{***}
qstr_south|south{***}
qstr_Issued_by_{s63}_auth|Issued by {s63}, authorizing attacks upon:{***}
qstr_See_Reports_for_furt|See Reports for further detail.{***}
qstr_Manage_army|Manage army{***}
qstr_{playername}:|{playername}:{***}
qstr_{s2}:_{reg2}{reg3?_+|{s2}: {reg2}{reg3?(+{reg3}): }{***}
qstr_{s2}:|{s2}:{***}
qstr_Excellent|Excellent{***}
qstr_Very_high|Very high{***}
qstr_High|High{***}
qstr_Above_average|Above average{***}
qstr_Medium|Medium{***}
qstr_Below_average|Below average{***}
qstr_Low|Low{***}
qstr_Very_low|Very low{***}
qstr_Terrible|Terrible{***}
qstr_Player|Player{***}
qstr_{s0}{s2}|{s0}{s2}{***}
qstr_You_have_no_free_wea|You have no free weapon slots in inventory{***}
qstr_Run_before_the_keg_e|Run before the keg explodes!{***}
qstr_You_need_to_hold_a_p|You need to hold a powder keg to blow up the wall{***}
qstr_Trait_points:_{reg0}|Trait points: {reg0}{***}
qstr_{s2}_was_fixed|{s2} was fixed{***}
qstr_{s2}_was_healed|{s2} was healed{***}
qstr_You_have_received_th|You have received the {s0} trait{***}
qstr_{s2}_have_received_t|{s2} have received the {s0} trait{***}
qstr_{reg0}_sailors_joine|{reg0} sailors joined in the assault.{***}
qstr_Play_strike_anim|Play strike anim{***}
qstr_Item:_{s2}|Item: {s2}{***}
qstr_Settlement_{s2}:_SP:|Settlement {s2}: SP: {reg10} :DM: {reg11} :CNT: {reg12} :Sell: {reg13} :Buy: {reg14} :Koef: {reg15}{***}
qstr_dist:_{reg10}|dist: {reg10}{***}
qstr_{s2}:^{reg2}_{reg1}_|{s2}:^{reg2}({reg1})^guns(operating/total){***}
qstr_{reg0}_{reg1?sailors|{reg0} {reg1?sailors are:sailor is} put ashore{***}
qstr_{s20}^{s21}|{s20}^{s21}{***}
qstr_Battle_log:_{s20}|Battle log: {s20}{***}
qstr_ship_sails_03|ship sails 03{***}
qstr_ship_sails_03_01|ship sails 03 01{***}
qstr_ship_sails_03_02|ship sails 03 02{***}
qstr_ship_sails_03_03|ship sails 03 03{***}
qstr_ship_sails_02|ship sails 02{***}
qstr_ship_sails_02_01|ship sails 02 01{***}
qstr_ship_sails_02_02|ship sails 02 02{***}
qstr_ship_sails_02_03|ship sails 02 03{***}
qstr_ship_sails_05|ship sails 05{***}
qstr_ship_sails_05_01|ship sails 05 01{***}
qstr_ship_sails_05_02|ship sails 05 02{***}
qstr_ship_sails_05_03|ship sails 05 03{***}
qstr_ship_sails_04|ship sails 04{***}
qstr_ship_sails_04_01|ship sails 04 01{***}
qstr_ship_sails_04_02|ship sails 04 02{***}
qstr_ship_sails_04_03|ship sails 04 03{***}
qstr_ship_sails_01|ship sails 01{***}
qstr_ship_sails_01_01|ship sails 01 01{***}
qstr_ship_sails_01_02|ship sails 01 02{***}
qstr_ship_sails_01_03|ship sails 01 03{***}
qstr_schooner_details|schooner details{***}
qstr_schooner_details_01_|schooner details 01 01{***}
qstr_schooner_details_01_0|schooner details 01 02{***}
qstr_schooner_details_01_03|schooner details 01 03{***}
qstr_Used_cheat_for_movem|Used cheat for movement.{***}
qstr_oim_p_hair_2_cut_hel|oim p hair 2 cut helmets{***}
qstr_oim_p_hair_2_cut|oim p hair 2 cut{***}
qstr_oim_p_hair_4_cut_mus|oim p hair 4 cut musketeer hat 01{***}
qstr_oim_p_hair_4_cut_hel|oim p hair 4 cut helmets{***}
qstr_oim_p_hair_4_cut|oim p hair 4 cut{***}
qstr_oim_p_hair_3_cut_hel|oim p hair 3 cut helmets{***}
qstr_oim_p_hair_3_cut|oim p hair 3 cut{***}
qstr_oim_p_hair_8_cut_hel|oim p hair 8 cut helmets{***}
qstr_oim_p_hair_8_cut|oim p hair 8 cut{***}
qstr_oim_p_hair_6_cut_hel|oim p hair 6 cut helmets{***}
qstr_oim_p_hair_6_cut|oim p hair 6 cut{***}
qstr_oim_p_hair_1_cut_hel|oim p hair 1 cut helmets{***}
qstr_oim_p_hair_1_cut|oim p hair 1 cut{***}
qstr_oim_p_hair_9_cut_hel|oim p hair 9 cut helmets{***}
qstr_oim_p_hair_9_cut|oim p hair 9 cut{***}
qstr_oim_p_hair_5_cut_hel|oim p hair 5 cut helmets{***}
qstr_oim_p_hair_5_cut|oim p hair 5 cut{***}
qstr_PART:_{reg11}/{reg12|PART: {reg11}/{reg12}/{reg13}{***}
qstr_Item:_{reg0}|Item: {reg0}{***}
qstr_Min_P:_{reg0}|Min P: {reg0}{***}
qstr_Avg_P:_{reg0}|Avg P: {reg0}{***}
qstr_Max_P:_{reg0}|Max P: {reg0}{***}
qstr_Koof:_{reg0}|Koof: {reg0}{***}
qstr_Consume:_{reg0}|Consume: {reg0}{***}
qstr_Build:_{reg0}|Build: {reg0}{***}
qstr_type:_{reg0}|type: {reg0}{***}
qstr_prod1:_{reg0}|prod1: {reg0}{***}
qstr_prod1_num:_{reg0}|prod1 num: {reg0}{***}
qstr_raw1:_{reg0}|raw1: {reg0}{***}
qstr_praw1_num:_{reg0}|praw1 num: {reg0}{***}
qstr_raw2:_{reg0}|raw2: {reg0}{***}
qstr_raw2_num:_{reg0}|raw2 num: {reg0}{***}
qstr_City:_{reg0}|City: {reg0}{***}
qstr_max_prod:_{reg0}|max prod: {reg0}{***}
qstr_max_raw:_{reg0}|max raw: {reg0}{***}
qstr_free:_{reg0}/{reg1}|free: {reg0}/{reg1}{***}
qstr_Slots:_{reg0}/{reg2}|Slots: {reg0}/{reg2}/{reg1}{***}
qstr_Itm:_{reg0}|Itm: {reg0}{***}
qstr_Prod:_{reg0}|Prod: {reg0}{***}
qstr_Cons:_{reg0}|Cons: {reg0}{***}
qstr_Price:_{reg0}|Price: {reg0}{***}
qstr_Colonial_exchanges_a|Colonial exchanges are accessing the prices of goods for today...{***}
qstr_Build_cost:_{reg0}|Build cost: {reg0}{***}
qstr_Produces:_^_{s2}__{r|Produces: ^ {s2} ({reg0})^^Requires:^ {s3} ({reg1})^ {s4} ({reg2})^^{s5}{***}
qstr_Produces:_^_{s2}__{re|Produces: ^ {s2} ({reg0})^^Requires:^ {s3} ({reg1})^^{s5}^{***}
qstr_Produces:_^_{s2}__{reg|Produces: ^ {s2} ({reg0})^^{s5}^^{***}
qstr_{s50}{s1}__{reg1}_^|{s50}{s1} ({reg1})^{***}
qstr_Mercenaries|Mercenaries{***}
qstr_Your_rank_is_not_high|Your rank is not high enough.{***}
qstr_Not_enough_money.|Not enough money.{***}
qstr_Your_party_if_full.|Your party if full.{***}
qstr_Hire:_{reg1}_Wages:_|Hire: {reg1} Wages: {reg2}{***}
qstr_Reward:_{reg1}_piast|Reward: {reg1} piastres.{***}
qstr_Price:_{reg1}_piastr|Price: {reg1} piastres.{***}
qstr_Reward:_^{s4}.|Reward: ^{s4}.{***}
qstr_Accepted|Accepted{***}
qstr_Not_available|Not available{***}
qstr_A_Letter_of_Marque_v|A Letter of Marque vs{***}
qstr_The_{s1}^Price:_{reg|The {s1}^Price: {reg1} piastres.{***}
qstr_Faction_membership|Faction membership{***}
qstr_{s1}.|{s1}.{***}
qstr_Reward:_{reg1}_piastr|Reward: {reg1} piastres,^{reg2} renown.{***}
qstr_Reward:_{reg2}_renow|Reward: {reg2} renown.{***}
qstr_These_colonial_soldi|These colonial soldiers are currently looking for a job as mercenaries.{***}
qstr_^^^^{s10}^^{s1}^^Ava|^^^^{s10}^^{s1}^^Available: {reg1}^Hire: {reg3} Wages: {reg4}{***}
qstr_^^^{s10}^^{s1}^^Avai|^^^{s10}^^{s1}^^Available: {reg2}^You can hire: up to {reg1}^^Hire: {reg3} Wages: {reg4}{***}
qstr_^^^{s10}^^{s1}^^Avail|^^^{s10}^^{s1}^^Available: {reg2}^You can hire: 0{***}
qstr_^^^{s10}^^{s1}^^Availa|^^^{s10}^^{s1}^^Available: {reg2}^You can hire: 0^^Your rank is not high enough.{***}
qstr_^^^{s10}^^{s1}^^Availab|^^^{s10}^^{s1}^^Available: {reg2}^You can hire: 0^^You don't have enough money.{***}
qstr_^^^{s10}^^{s1}^^Availabl|^^^{s10}^^{s1}^^Available: {reg2}^You can hire: 0^^Your party is full.{***}
qstr_{s11}|{s11}{***}
qstr_{s11}^^You_don_t_hav|{s11}^^You don't have enough money.{***}
qstr_A_Letter_of_Marque|A Letter of Marque{***}
qstr_^^^This_patent_issue|^^^This patent, issued by the {s2}, authorizes attacks upon shipping of their enemy, the {s1}, for as long as their war continues.^^Price: {reg1} piastres.{***}
qstr_^^^This_patent_issued|^^^This patent, issued by the {s2}, authorizes attacks upon shipping of their enemy, the {s1}, for as long as their war continues.^^Price: {reg1} piastres.^^You don't have enough money.{***}
qstr_^^^The_{s1}_offers_y|^^^The {s1} offers you to join its ranks.{***}
qstr_You_have_earned_the_|You have earned the rank of {s60}{***}
qstr_Sailor|Sailor{***}
qstr_Midshipman|Midshipman{***}
qstr_Lieutenant|Lieutenant{***}
qstr_Captain_Lieutenant|Captain Lieutenant{***}
qstr_Captain|Captain{***}
qstr_Commodore|Commodore{***}
qstr_Admiral|Admiral{***}
qstr_Shopkeeper|Shopkeeper{***}
qstr_Trader|Trader{***}
qstr_Patrician|Patrician{***}
qstr_Councilor|Councilor{***}
qstr_Chairman|Chairman{***}
qstr_You_have_reached_the|You have reached the trading expertise of a {s61}.{***}
qstr_You_have_paid_your_t|You have paid your taxes and harbor fees.{***}
qstr_You_lost_{reg1}_unit|You lost {reg1} units of {s1}.{***}
qstr_{s46}{s10}__{s0}_^^|{s46}{s10} ({s0})^^{***}
qstr_{s45}{s10}__{s0}_^^|{s45}{s10} ({s0})^^{***}
qstr_POS0:_{reg0}/{reg1}|POS0: {reg0}/{reg1}{***}
qstr_POS1:_{reg0}/{reg1}|POS1: {reg0}/{reg1}{***}
qstr_POS2:_{reg0}/{reg1}|POS2: {reg0}/{reg1}{***}
qstr_vFogCol|vFogCol{***}
qstr_vReflection_amount|vReflection amount{***}
qstr_transparent|transparent{***}
qstr_cut_woman_body_neck|cut woman body neck{***}
qstr_{s50}_{s1}|{s50} {s1}{***}
qstr_Player_fleet|Player fleet{***}
qstr_Your_convoy_has_arri|Your convoy has arrived at {s1}.{***}
qstr_Given_by_{s1}|Given by {s1}{***}
qstr_You_must_complete_th|You must complete this mission before {s2}{***}
qstr_{s1}_the_governor_of|{s1}, the governor of {s0},{***}
qstr_all_ok|all ok{***}
qstr_caribbean_interior_r|caribbean interior room obj 01{***}
qstr_caribbean_interior_ro|caribbean interior room obj 02{***}
qstr_caribbean_interior_roo|caribbean interior room obj 03{***}
qstr_caribbean_interior_room|caribbean interior room walls wood{***}
qstr_caribbean_interior_room_|caribbean interior room walls stone{***}
qstr_{s3}{s1}^{reg0}_troo|{s3}{s1}^{reg0} troops{***}
qstr_You_whistle_for_your|You whistle for your horse.{***}
qstr_{reg2?You:Your_mount|{reg2?You:Your mount} received {reg1} extra damage!{***}
qstr_{reg2?You_strike:You|{reg2?You strike:Your horse charges} for {reg1} bonus damage!{***}
qstr_You_got_the_keys_to_|You got the keys to prison cells.{***}
qstr_time|time{***}
qstr_waveFreq|waveFreq{***}
qstr_waveAmp|waveAmp{***}
qstr_dofoam|dofoam{***}
qstr_Cannot_leave_now.|Cannot leave now.{***}
qstr_Your_wounds_cause_yo|Your wounds cause your body to go into shock.{***}
qstr_You_are_on_a_battlef|You are on a battlefield now, in the deployment phase. Use mouse to drag and drop your units around the deployment area. When your battle orders satisfy you, press 'Start Battle' to commit to the engagement.{***}
qstr_Once_the_battle_is_j|Once the battle is joined, you can use the deployment screen to order your troops around. Hold your cursor to switch between Movement and Attack modes. The troops on the move ignore the opposition, whereas the units ordered to attack will actively pursue the enemies.{***}
qstr_You_can_give_orders_|You can give orders to your entire party as well. There are three mass commands - mass charge, summon all troops to you, and hold position.^^In order to change your orders further into the battle, press 'Backspace' to call up the deployment window again.{***}
qstr_Tutorial|Tutorial{***}
qstr_Shadow_Maps_Rebuilt!|Shadow Maps Rebuilt!{***}
qstr_mouse_icon|mouse icon{***}
qstr_mouse_icon_red|mouse icon red{***}
qstr_mouse_icon_green|mouse icon green{***}
qstr_Your_flagship_has_be|Your flagship has been destroyed!{***}
qstr_Target_is_out_of_ran|Target is out of range!{***}
qstr_Guns_not_loaded!|Guns not loaded!{***}
qstr_Can_t_retreat_enemie|Can't retreat, enemies are faster!{***}
qstr_{s0}__{s2}_.|{s0} ({s2}).{***}
qstr_{s20}_@{s0}__{s2}_.|{s20}, @{s0} ({s2}).{***}
qstr_HZ|HZ{***}
qstr_You_are_drowning!|You are drowning!{***}
qstr_DIST:_{reg0}|DIST: {reg0}{***}
qstr_You_are_spotted_by_t|You are spotted by the guards!{***}
qstr_You_ve_found_all_of_|You've found all of the chests!  Hit Tab to leave this battle.{***}
qstr_Failure|Failure{***}
qstr_Result|Result{***}
qstr_Victory|Victory{***}
qstr_Message|Message{***}
qstr_New_enemies|New enemies{***}
qstr_No|No{***}
qstr__{reg10}_renown_unti|({reg10} renown until next promotion){***}
qstr_Next_pay_day:_{s1}|Next pay day: {s1}{***}
qstr_{s1}^^Affiliated_to_|{s1}^^Affiliated to {s5}{***}
qstr_{s1}^^You_possess_a_|{s1}^^You possess a letter of marquee issued by the {s4}.{***}
qstr_After_many_a_devasta|After many a devastating war, Europe has entered a short period of respite. Peasantry and burghers can finally enjoy peace while it lasts. They say, peace is good for business. Not for yours, though. You know no other trade than that of professional mercenary. Peace has a price, and in your case, it cost you a job. After months of restless boredom, you have gathered the remains of your company and spent most of your savings on purchasing a small frigate. The plan is to look for action overseas, where fighting never stops. The weeks of crossing the Atlantic have passed uneventfully, and now you approach Hispaniola, where conflict is brewing between French and Spanish colonists...{***}
qstr_You_have_spent_most_|You have spent most of your life as a middle-tier manager in the offices of East India Company, but paperwork and working from salary to salary never appealed to you. Having accumulated enough savings, you made a risky decision to strike on your own and look to make fortune in West India as independent merchant. Spending most of your gold on a couple of old fluyts, you set off to the Caribbean. On your first stop you have filled your hold with cocoa, fruits and other goods. Now your route leads to Hispaniola, where you expect to sell your wares at a profit...{***}
qstr_You_have_walked_a_pa|You have walked a path of crime for as long as you can remember. As you grew up, your immoral career has evolved from pickpocketing and petty burglary to banditry and murder. Ever walking in the shadows of a gallow and wanted in many cities and counties, you have finally decided to move on to the greener pastures beyond the Atlantic. Old habits did not end with new life though, and you quickly made yourself a name as a bloodthirsty pirate. For now, your shady business leads you to the island of Hispaniola...{***}
qstr_Born_in_a_poor_famil|Born in a poor family, you have always aspired to escape the clutches of destitution. This desire led you to some poorly thought choices, and you ended up at the court, convicted to years of hard labor in the colonies. Still, God was at your side, and the ship carrying you to virtual slavery was attacked shortly after reaching the Caribbean. With many crewmen wounded or dead, the first mate opted to ground the sinking vessel off the coast of Hispaniola, making you and the few other surviving inmates free men once again...{***}
qstr_You_came_into_the_wo|You came into the world a {reg3?daughter:son} of declining nobility, owning only the house in which they lived. However, despite your family's hardships, they afforded you a good education and trained you from childhood for the rigors of aristocracy and life at court.{***}
qstr_You_were_born_the_{r|You were born the {reg3?daughter:son} of travelling merchants, always moving from place to place in search of a profit. Although your parents were wealthier than most and educated you as well as they could, you found little opportunity to make friends on the road, living mostly for the moments when you could sell something to somebody.{***}
qstr_As_a_child_your_fami|As a child, your family scrabbled out a meagre living from your father's wages as a guardsman to the local lord. It was not an easy existence, and you were too poor to get much of an education. You learned mainly how to defend yourself on the streets, with or without a weapon in hand.{***}
qstr_{reg3?daughter:son}|{reg3?daughter:son}{***}
qstr_You_were_the_{reg3?d|You were the {reg3?daughter:son} of a family who lived off the woods, doing whatever they needed to make ends meet. Hunting, woodcutting, making arrows, even a spot of poaching whenever things got tight. Winter was never a good time for your family as the cold took animals and people alike, but you always lived to see another dawn, though your brothers and sisters might not be so fortunate.{***}
qstr_You_were_a_child_of_|You were a child of the steppe, born to a tribe of wandering nomads who lived in great camps throughout the arid grasslands. Like the other tribesmen, your family revered horses above almost everything else, and they taught you how to ride almost before you learned how to walk. {***}
qstr_As_the_{reg3?daughte|As the {reg3?daughter:son} of a thief, you had very little 'formal' education. Instead you were out on the street, begging until you learned how to cut purses, cutting purses until you learned how to pick locks, all the way through your childhood. Still, these long years made you streetwise and sharp to the secrets of cities and shadowy backways.{***}
qstr_As_a_{reg3?girl:boy}|As a {reg3?girl:boy} growing out of childhood, you were sent to live in the court of one of the nobles of the land. There, your first lessons were in humility, as you waited upon the lords and ladies of the household. But from their chess games, their gossip, even the poetry of great deeds and courtly love, you quickly began to learn about the adult world of conflict and competition. You also learned from the rough games of the other children, who battered at each other with sticks in imitation of their elders' swords.{***}
qstr_As_a_{reg3?girl:boy}_|As a {reg3?girl:boy} growing out of childhood, you apprenticed with a local craftsman to learn a trade. After years of hard work and study under your new master, he promoted you to journeyman and employed you as a fully paid craftsman for as long as you wished to stay.{***}
qstr_As_a_{reg3?girl:boy}_g|As a {reg3?girl:boy} growing out of childhood, you apprenticed to a wealthy merchant, picking up the trade over years of working shops and driving caravans. You soon became adept at the art of buying low, selling high, and leaving the customer thinking they'd got the better deal.{***}
qstr_As_a_{reg3?girl:boy}_gr|As a {reg3?girl:boy} growing out of childhood, you took to the streets, doing whatever you must to survive. Begging, thieving and working for gangs to earn your bread, you lived from day to day in this violent world, always one step ahead of the law and those who wished you ill.{***}
qstr_As_a_{reg3?girl:boy}_gro|As a {reg3?girl:boy} growing out of childhood, you rode the great steppes on a horse of your own, learning the ways of the grass and the desert. Although you sometimes went hungry, you became a skillful hunter and pathfinder in this trackless country. Your body too started to harden with muscle as you grew into the life of a nomad {reg3?woman:man}.{***}
qstr_{reg3?daughter:man}|{reg3?daughter:man}{***}
qstr_Though_the_distincti|Though the distinction felt sudden to you, somewhere along the way you had become a {reg3?woman:man}, and the whole world seemed to change around you. When you were named squire to a noble at court, you practiced long hours with weapons, learning how to deal out hard knocks and how to take them, too. You were instructed in your obligations to your lord, and of your duties to those who might one day be your vassals. But in addition to learning the chivalric ideal, you also learned about the less uplifting side -- old warriors' stories of ruthless power politics, of betrayals and usurpations, of men who used guile as well as valor to achieve their aims.{***}
qstr_{reg3?woman:man}|{reg3?woman:man}{***}
qstr_Though_the_distinctio|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You joined the tightly-knit circle of women at court, ladies who all did proper ladylike things, the wives and mistresses of noble men as well as maidens who had yet to find a husband. However, even here you found politics at work as the ladies schemed for prominence and fought each other bitterly to catch the eye of whatever unmarried man was in fashion at court. You soon learned ways of turning these situations and goings-on to your advantage. With it came the realisation that you yourself could wield great influence in the world, if only you applied yourself with a little bit of subtlety.{***}
qstr_Though_the_distinction|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You set out on your own with nothing except the instrument slung over your back and your own voice. It was a poor existence, with many a hungry night when people failed to appreciate your play, but you managed to survive on your music alone. As the years went by you became adept at playing the drunken crowds in your taverns, and even better at talking anyone out of anything you wanted.{***}
qstr_Though_the_distinction_|Though the distinction felt sudden to you, somewhere along the way you had become a {reg3?woman:man}, and the whole world seemed to change around you. You found yourself as a student in the university of one of the great cities, where you studied theology, philosophy, and medicine. But not all your lessons were learned in the lecture halls. You may or may not have joined in with your fellows as they roamed the alleys in search of wine, women, and a good fight. However, you certainly were able to observe how a broken jaw is set, or how an angry townsman can be persuaded to set down his club and accept cash compensation for the destruction of his shop.{***}
qstr_Though_the_distinction_f|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Heeding the call of the open road, you travelled from village to village buying and selling what you could. It was not a rich existence, but you became a master at haggling even the most miserly elders into giving you a good price. Soon, you knew, you would be well-placed to start your own trading empire...{***}
qstr_Though_the_distinction_fe|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You pursued a career as a smith, crafting items of function and beauty out of simple metal. As time wore on you became a master of your trade, and fine work started to fetch fine prices. With food in your belly and logs on your fire, you could take pride in your work and your growing reputation.{***}
qstr_Though_the_distinction_fel|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Dissatisfied with common men's desperate scrabble for coin, you took to your local lord's own forests and decided to help yourself to its bounty, laws be damned. You hunted stags, boars and geese and sold the precious meat under the table. You cut down trees right under the watchmen's noses and turned them into firewood that warmed many freezing homes during winter. All for a few silvers, of course.{***}
qstr_Only_you_know_exactl|Only you know exactly what caused you to give up your old life and become an adventurer. Still, it was not a difficult choice to leave, with the rage burning brightly in your heart. You want vengeance. You want justice. What was done to you cannot be undone, and these debts can only be paid in blood...{***}
qstr_Only_you_know_exactly|Only you know exactly what caused you to give up your old life and become an adventurer. All you can say is that you couldn't bear to stay, not with the memories of those you loved so close and so painful. Perhaps your new life will let you forget, or honour the name that you can no longer bear to speak...{***}
qstr_Only_you_know_exactly_|Only you know exactly what caused you to give up your old life and become an adventurer. You're not even sure when your home became a prison, when the familiar became mundane, but your dreams of wandering have taken over your life. Whether you yearn for some faraway place or merely for the open road and the freedom to travel, you could no longer bear to stay in the same place. You simply went and never looked back...{***}
qstr_Only_you_know_exactly_w|Only you know exactly what caused you to give up your old life and become an adventurer. However, you know you cannot go back. There's nothing to go back to. Whatever home you may have had is gone now, and you must face the fact that you're out in the wide wide world. Alone to sink or swim...{***}
qstr_Only_you_know_exactly_wh|Only you know exactly what caused you to give up your old life and become an adventurer. To everyone else, it's clear that you're now motivated solely by personal gain. You want to be rich, powerful, respected, feared. You want to be the one whom others hurry to obey. You want people to know your name, and tremble whenever it is spoken. You want everything, and you won't let anyone stop you from having it...{***}
qstr_Back_to_the_beginnin|Back to the beginning...{***}
qstr_View_next_segment...|View next segment...{***}
qstr_^No_food:___{reg7}|^No food:  -{reg7}{***}
qstr_^Wage_debt:___{reg6}|^Wage debt:  -{reg6}{***}
qstr_{s1}^The_{s50}__Numb|{s1}^The {s50} (Number of ships defeated: {reg5}){***}
qstr_You_possess_a_Letter|You possess a Letter of Marque, originally issued by {s5} of the {s4}.^The {s4} has authorized you to attack and seize enemy ships and treasure belonging to the following enemies:^^{s1}{***}
qstr_Appoint_next_admiral|Appoint next admiral{***}
qstr_Grant_governorship_o|Grant governorship of {s12}{***}
qstr_No_one|No one{***}
qstr_Selected_faction_is:|Selected faction is: {s10}^^{s9}{***}
qstr_You_are_currently_re|You are currently reading {s8}.{***}
qstr_You_are_not_reading_|You are not reading any books.{***}
qstr_none|none{***}
qstr_{s5}_and_{s6}|{s5} and {s6}{***}
qstr_Your_estates_are:_{s|Your estates are: {s8}.^{s9}{***}
qstr_+20_{s0}_|+20({s0}){***}
qstr_{s6}^+10_{s0}_|{s6}^+10({s0}){***}
qstr_{s6}^+3_{s0}_|{s6}^+3({s0}){***}
qstr_Current_company_size|Current company size limit is {reg5}.^Current company size modifiers are:^^Base size:  +30^Leadership: {s2}{reg1}^Charisma: {s3}{reg2}^Renown: {s4}{reg3}{reg6?^{s6}: }^TOTAL:  {reg5}{***}
qstr_Your_relation_with_t|Your relation with the factions are:^{s2}{***}
qstr_ADV:_{reg0}|ADV: {reg0}{***}
qstr_Player_s_renown_is_i|Player's renown is increased by 100. {***}
qstr_Player_s_honor_is_in|Player's honor is increased by 1, it is now {reg7}.{***}
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?accept:accepts} the offer.{***}
qstr_No_one_accepts_the_o|No one accepts the offer.{***}
qstr_Villagers|Villagers{***}
qstr_You_have_encountered|You have encountered {s1}.{***}
qstr_The_opposing_army_ha|The opposing army has built itself a wagenburg.{***}
qstr_You_have_engaged_{s1|You have engaged {s1} while they were raiding {s3}.{***}
qstr_You_were_caught_by_{|You were caught by {s1} while your forces were raiding {s3}.{***}
qstr_You_were_victorious!|You were victorious!{***}
qstr_The_battle_was_lost.|The battle was lost. Your forces were utterly crushed.{***}
qstr_Your_companions_carr|Your companions carry you away from the fighting.{***}
qstr_You_have_defeated_th|You have defeated the enemy.{***}
qstr_You_have_retreated_f|You have retreated from the fight.{***}
qstr_^^Ally_Casualties:{s|^^Ally Casualties:{s0}{***}
qstr_{s1}_of_the_{s3}_man|{s1} of the {s3} managed to escape.{***}
qstr_Your_flagship_was_ca|Your flagship was captured in the boarding action.{***}
qstr_A_vicious_blow_has_s|A vicious blow has slashed your tendons. Your strength is permanently decreased.{***}
qstr_A_nasty_wound_has_da|A nasty wound has damaged your joint, making you likely to limp slightly for the rest of your life. Your agility is permanently decreased.{***}
qstr_A_hard_blow_to_your_|A hard blow to your head has made your head spin, and frequent headaches will plague your existence from now on. Your intelligence is permanently decreased.{***}
qstr_Perhaps_I_m_getting_|Perhaps I'm getting unlucky...{***}
qstr_Retirement_is_starti|Retirement is starting to sound better and better.{***}
qstr_No_matter!_I_will_pe|No matter! I will persevere!{***}
qstr_What_did_I_do_to_des|What did I do to deserve this?{***}
qstr_I_suppose_it_ll_make|I suppose it'll make for a good story, at least...{***}
qstr_{s9}_wants_you_to_fo|{s9} wants you to follow his army until further notice.{***}
qstr_{s8}_of_the_{s9}|{s8} of the {s9}{***}
qstr_liege|liege{***}
qstr_former_liege|former liege{***}
qstr_affiliate|affiliate{***}
qstr_former_companion|former companion{***}
qstr_admiral|admiral{***}
qstr__The_town_is_ruled_b| The town is ruled by you.{***}
qstr__The_town_is_ruled_by| The town is ruled by your {s11}, {s7}.{***}
qstr__The_town_is_ruled_by_| The town is ruled by {s7}.{***}
qstr_The_food_stores_of_t|The food stores of the {reg6?town:town} should last for {reg3} more days.{***}
qstr_The_{reg6?town:town}|The {reg6?town:town} has run out of food, the defenders are starving.{***}
qstr_You_re_preparing_to_|You're preparing to attack the walls. The assault equipment should be ready in {reg9} hours.{***}
qstr_Your_forces_are_digg|Your forces are digging a tunnel. They estimate another {reg9} hours are needed to complete the task.{***}
qstr_You_are_ready_to_att|You are ready to attack the walls at any time.{***}
qstr_The_tunnel_is_comple|The tunnel is completed, and your forces are ready to assault the town.{***}
qstr_In_desperation_you_r|In desperation, you retreat deep inside the fortress. You and the remains of your garrison will put up your last stand in here. If you are defeated, there's no other place to fall back to.{***}
qstr_You_ve_been_forced_t|You've been forced to abandon the walls. Now the attackers are pouring into the streets. If you can defeat them, you can perhaps turn the tide and save the day.{***}
qstr_You_ve_breached_the_|You've breached the town walls, but the stubborn defenders have put a fight in the streets! You'll have to deal with them before you can attack the fortress at the heart of the town.{***}
qstr_The_town_centre_is_y|The town centre is yours, but the remaining defenders have retreated to the fortress. It must fall for you to conquer the town.{***}
qstr_The_remaining_defend|The remaining defenders have retreated to the fortress for their last stand. You must go in and crush any remaining resistance.{***}
qstr_enormous|enormous{***}
qstr_massive|massive{***}
qstr_significant|significant{***}
qstr_However_since_you_ar|However, since you are a mere mercenary, there is no chance {s9} would assign this {reg8?town:town} to you.{***}
qstr_You_can_now_inform_{|You can now inform {s9} about your glorious victory. {s5}{***}
qstr_The_enemy_has_been_f|The enemy has been forced to retreat. The assault is over, but the siege continues.{***}
qstr_You_are_spotted_by_th|You are spotted by the guards of the fortress, who welcome you and open the gates for their {s10}.{***}
qstr_You_are_spotted_by_the|You are spotted by the guards of the fortress, who welcome you and open the gates for their {king/queen}.{***}
qstr_You_are_spotted_by_the_|You are spotted by the guards of the fortress, who welcome you and open the gates for their {governor/governor}.{***}
qstr__{s2}_and_the_surrou| {s2} and the surrounding lands are ruled by you.{***}
qstr__{s2}_is_owned_by_{s| {s2} is owned by {s7}.{***}
qstr__{s2}_apparently_bel| {s2} apparently belongs to no one of note.{***}
qstr__This_place_has_been| This place has been looted. A handful of souls scatter as you pass through the burnt out houses.{***}
qstr__This_place_is_being| This place is being raided.{***}
qstr_No_one_here_seems_to|No one here seems to be willing to join your company.{***}
